epoch,step,train/loss,train/reward,val/reward
0,49,1582563968.0,-38179.73828125,
0,99,392002816.0,-18708.123046875,
0,149,232224544.0,-15151.8271484375,
0,199,64119648.0,-6420.5078125,
0,249,24241136.0,-3217.45068359375,
0,299,16385271.0,-3010.82275390625,
0,349,8667371.0,-1875.305908203125,
0,390,,,-7103.65380859375
1,399,2303636.0,-802.8526000976562,
1,449,2346172.5,-674.193603515625,
1,499,557323.75,-277.18560791015625,
1,549,2632952.5,-481.7937927246094,
1,599,4044842.5,-927.408447265625,
1,649,841163.5,-336.9741516113281,
1,699,1415578.75,-627.1337280273438,
1,749,609994.75,-381.6835632324219,
1,781,,,-108.21005249023438
2,799,752329.0625,-275.0390930175781,
2,849,2354156.25,-927.8717041015625,
2,899,3502834.5,-501.632568359375,
2,949,1026094.8125,-412.91009521484375,
2,999,356852.96875,-201.83114624023438,
2,1049,705202.25,-230.87744140625,
2,1099,47119.03515625,-106.84422302246094,
2,1149,330403.96875,-206.96682739257812,
2,1172,,,-103.42469024658203
3,1199,306718.78125,-168.58822631835938,
