epoch,step,train/loss,train/reward,val/reward
0,49,98833.90625,-30045.2734375,
0,99,19437.0625,-24864.53515625,
0,149,-2991.05126953125,-22748.875,
0,195,,,-24118.240234375
1,199,71357.390625,-22470.46875,
1,249,224996.71875,-19842.7109375,
1,299,183255.9375,-20951.734375,
1,349,194892.375,-19336.0703125,
1,391,,,-16048.1484375
2,399,-153059.9375,-19921.64453125,
2,449,-31604.17578125,-16677.896484375,
2,499,-55116.9609375,-17651.140625,
2,549,48152.4140625,-14157.61328125,
2,587,,,-12787.8388671875
3,599,-188873.21875,-17405.591796875,
3,649,-69035.6796875,-15130.8359375,
3,699,-89146.9296875,-15445.71484375,
3,749,-51769.47265625,-14085.470703125,
3,783,,,-12754.0029296875
4,799,-44998.1484375,-14181.953125,
4,849,-2004.591552734375,-12732.865234375,
4,899,5102.3857421875,-12334.392578125,
4,949,20420.4140625,-11768.0341796875,
4,979,,,-10920.80078125
